Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Experimental;Final Harvest;Start Av Weight BioCat;End Av Weight BioCat;BATCH.START.DATE;AGE
Aveiro;AQUACRIA;S65A;SS1204L;Sole;8.08;21.14;Stolt Sea Farm;;2012;April;26/8/2014;29/9/2014;551;585;582.6;0.41;577.31;551;LE-5;ELITE;Skretting;125;0;0;938;516.838;2313;1353.105;0;0;759.78;76.487;58.70003;1.634264646;2.129470803;33;0;0;4.63;5.94;0.18;125;0.63;615-815;Feed Type 2015;;Unchecked;;0;0;20.48;0;0;1;0;2;415.14;11.22962105;1.711457248;716;400-600;400-600;;YES;400+;400+;1/4/2012;898
Aveiro;AQUACRIA;S65A;SS1204L;Sole;21.14;24.4;Stolt Sea Farm;;2012;April;29/9/2014;28/10/2014;585;611;609.01;0.33;626.3;585;LE-5;ELITE;Skretting;166.3;0;0;2313;1353.105;2556;1561.716;0;0;162.028;46.583;85.6898;3.569971878;1.940721066;30;0;0;1.77;1.13;0.15;171.9;0.449;615-815;Feed Type 2015;;Unchecked;;0;0;20.85;0;0;2;0;2;475.98;11.7289031;1.762351964;602;400-600;>600;;YES;400+;400+;1/4/2012;927
Aveiro;AQUACRIA;S65A;SS1204L;Sole;24.4;17.53;Stolt Sea Farm;;2012;April;28/10/2014;1/12/2014;611;630;629.72;0.04;700;611;LE-5;ELITE;Skretting;141.9;0;0;2556;1561.716;2449;1542.87;64.79;0;0;45.944;217.374;3.088542574;0.652791962;19;0;0;0.26;0.18;0.09;157.6;0.368;615-815;Feed Type 2015;;Unchecked;;0;0;19.98;0;0;0;4;2;487.98;12.02460216;1.799861403;632;>600;>600;;YES;400+;400+;1/4/2012;960
Aveiro;AQUACRIA;S63B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;26/4/2014;27/5/2014;262;257;262;-1.91;276.13;0;LE-5;ELITE;Skretting;0;0;0;4820;1262.84;4726;1214.582;0;0;0;-48.258;42.15038;0;0;94;0;0;0;0;-0.06;204.5;1.604;M ;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;480.82;9.322209706;2.507281885;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;776
Aveiro;AQUACRIA;S63B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;27/5/2014;24/6/2014;257;270;257;5.06;279.27;0;LE-5;ELITE;Skretting;0;0;0;4726;1214.582;4672;1261.44;0;0;0;46.858;90.16744;0;0;57;0;0;0;0;0.18;173.3;1.602;M ;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;534.82;10.36916974;2.545039866;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;803
Aveiro;AQUACRIA;S12B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;2/1/2015;5/1/2015;360;360;360.5;-0.14;349.76;360;LE-5;ELITE;Skretting;1;0;0;1234;444.24;1108;398.88;327.62488;0;0;282.26488;270.91896;0.003542772;0.003691141;0;0;0;0.06;-0.02;0;1;0.368;;Feed Type 2015;;Unchecked;;0;0;18.17;0;0;1;2;1;1220.56;15.59390635;2.814261362;55;300-400;300-400;;YES;300-400;300-400;1/4/2012;994
Aveiro;AQUACRIA;S12B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;5/1/2015;16/1/2015;360;350;361.55;-3.19;360.26;360;LE-3;ELITE;Skretting;2.4;0;0;1108;398.88;228;79.8;343.74244;0;0;24.66244;27.00172;0.097313972;0.088883227;0;0;0;0.05;-1.28;-0.26;1.8;0.018;;Feed Type 2015;;Unchecked;;0;0;18.77;0;0;0;5;2;1220.56;15.59390635;2.820758622;76;300-400;300-400;;YES;300-400;300-400;1/4/2012;1005
Aveiro;AQUACRIA;N42A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;28/2/2014;26/3/2014;260;274.05;260;5.4;286.05;0;LE-5;ELITE;Skretting;0;0;0;4835;1257.1;4820;1320.921;0;0;0;63.821;121.661;0;0;15;0;0;0;0;0.2;194.4;1.653;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;289.23;5.424062562;2.336874337;0;200-300;200-300;;;200-300;200-300;1/4/2012;715
Aveiro;AQUACRIA;N42A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;26/3/2014;26/4/2014;274.05;282;274.05;2.9;284.48;0;LE-5;ELITE;Skretting;0;0;0;4820;1320.921;4731;1334.142;0;0;0;13.221;24.95388;0;0;91;0;0;0;0;0.09;218.1;1.653;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;378.23;7.093120294;2.482527848;0;200-300;200-300;;;200-300;200-300;1/4/2012;745
Aveiro;AQUACRIA;S65B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;11/2/2014;25/2/2014;334.18;322.6;334.18;-3.47;341.19;0;LE-5;ELITE;Skretting;0;0;0;3635;1214.7443;3621;1168.1346;0;0;0;-46.6097;20.70469;0;0;14;0;0;0;0;-0.25;44.14;1.717;;Feed Type 2015;;Unchecked;;0;0;0;0;0;1;0;1;233.91;5.404300151;1.800912767;0;300-400;300-400;;YES;300-400;300-400;1/4/2012;684
